NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT,MEDIAN_SALES_PRICE
TRAVIS,276.4395299,5,8410,58.69,143.2952803,1990,430000
TRIBECA,1130.057005,1,18306,22.82,802.1910605,1930,2950000
UPPER EAST SIDE (59-79),1806.25,1,18306,22.82,802.1910605,1959,1100000
UPPER EAST SIDE (79-96),1117.254262,1,18306,22.82,802.1910605,1961,1171191.5
UPPER EAST SIDE (96-110),319.0572613,1,18306,22.82,802.1910605,1926,1965000
UPPER WEST SIDE (59-79),981.8181818,1,18306,22.82,802.1910605,1962,1205098.5
UPPER WEST SIDE (79-96),1112.080244,1,18306,22.82,802.1910605,1927,1137500
UPPER WEST SIDE (96-116),724.8858447,1,18306,22.82,802.1910605,1923,1109250
WAKEFIELD,224.609375,2,7049,42.47,165.975983,1930,410000
WASHINGTON HEIGHTS LOWER,413.009809,1,18306,22.82,802.1910605,1920,662500
WASHINGTON HEIGHTS UPPER,344.3176258,1,18306,22.82,802.1910605,1939,532000
WEST NEW BRIGHTON,237.4604087,5,8410,58.69,143.2952803,1935,399652
WESTCHESTER,203.2277346,2,7049,42.47,165.975983,1926,480000
WESTERLEIGH,357.1428571,5,8410,58.69,143.2952803,1955,514999
WHITESTONE,554.4147844,4,26736,108.1,247.3265495,1951,750000
WILLIAMSBRIDGE,196.7592593,2,7049,42.47,165.975983,1935,410000
WILLIAMSBURG-CENTRAL,461.3095238,3,24047,69.5,346,2003,661862
WILLIAMSBURG-EAST,659.0909091,3,24047,69.5,346,1931,1013158
WILLIAMSBURG-NORTH,890.5054559,3,24047,69.5,346,2007,1050000
WILLIAMSBURG-SOUTH,658.0645161,3,24047,69.5,346,2009,1200000
WILLOWBROOK,357.8756015,5,8410,58.69,143.2952803,1975,555000
WINDSOR TERRACE,796.3594994,3,24047,69.5,346,1925,862500
WOODHAVEN,343.2377049,4,26736,108.1,247.3265495,1920,552500
WOODLAWN,256.098176,2,7049,42.47,165.975983,1930,430000
WOODROW,305.500672,5,8410,58.69,143.2952803,1992,549000
WOODSIDE,407.1149194,4,26736,108.1,247.3265495,1940,405000
WYCKOFF HEIGHTS,373.2193732,3,24047,69.5,346,1931,1125000
